missing_col,col2,col3,outliers_col,outliers_col2,categorical_col,binary_col,ordinal_col,text_col
19,21,1.579756838,76,0.146815167,mouse,0,normal,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
12,87,0.257069335,85,0.210568899,dog,0,bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
76,29,0.564826172,49,2.427332878,elephant,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
42,66,0.34506027,67,1.601457743,elephant,0,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
49,43,0.861006669,-14,22.37526477,cat,0,very bad,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
72,1,1.725292389,-75,7.558021153,mouse,0,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
24,69,0.403581696,-27,0.909909111,cat,0,bad,"
In a hole in the ground there lived a hobbit."
84,13,1.157647721,6,1.617263356,mouse,1,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
28,29,1.004402833,39,1.790945644,mouse,0,very good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
,24,1.740908684,92,0.37869545,mouse,0,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
82,98,0.818606498,-71,1.642513079,cat,1,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
79,51,0.917329355,17,2.831484448,cat,1,very bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
29,73,3.079709193,-40,1.608178318,elephant,0,bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
10,10,0.597746462,-90,1.433905615,mouse,0,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
29,98,1.211843762,-38,1.087053043,elephant,1,normal,"
In a hole in the ground there lived a hobbit."
24,6,0.89598594,5,0.571657572,cat,1,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
16,21,0.168192909,-41,2.118882566,elephant,0,very good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
99,60,0.548475307,-34,0.545982827,mouse,1,normal,"
In a hole in the ground there lived a hobbit."
29,10,1.705430858,-6,0.386682907,cat,1,very good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
52,68,0.83628608,22,0.283115198,dog,1,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
87,3,1.757051627,-56,0.341142986,mouse,1,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
16,78,5.399773331,-23,0.504899533,elephant,0,good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
,7,1.368400852,60,0.323843225,elephant,1,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
59,5,0.513890524,-9,1.662275651,cat,0,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
26,87,0.869616963,72,2.017738988,dog,1,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
45,55,0.880923396,-88,2.746578726,cat,0,good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
78,80,0.446678491,39,0.255480682,elephant,1,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
23,91,7.069714357,-75,2.35484128,elephant,1,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
,45,0.74300992,39,1384.960562,cat,0,normal,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
11,47,2.928189783,-1,1232.476177,mouse,1,very good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
8,24,0.428136886,37,0.262593087,mouse,1,very bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
85,76,0.660435835,-14,1.037017156,dog,0,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
45,84,0.77828929,-73,1.765542428,cat,0,normal,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
34,29,1.515744997,96,1.784304634,elephant,0,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
